Photography,Rating,Location,Reviews,Price Per Day,Usefull,per day,Email_id,Contact,Instagram Link,Facebook Link,Website Link
Photowale,4.8,Patliputra Colony,27 reviews,Photo + Video,"90,000",per day,,,https://www.instagram.com/photowale.ahmedabad/?igshid=1mtg91r2yxtta,https://www.facebook.com/photowalecorporate/,
Wedding Baba,5.0,Kidwaipuri,12 reviews,Photo + Video,"30,000",per day,,,https://www.instagram.com/weddingbabastudiopatna/,None,
Wedding Triangle,4.9,Sipara,5 reviews,Photo + Video,"30,000",per day,,,None,None,
Shahi Video,5.0,Sadikpur,2 reviews,Photo Package,"40,000",per day,,,None,None,
Nira Click Studio,4.8,Phulwari Sharif,3 reviews,Photo + Video,"40,000",per day,,,None,None,
Cam Studios,3.8,Anandpuri,7 reviews,Photo + Video,"35,000",per day,,,None,https://www.facebook.com/gocamstudio/,
NK Studio,5.0,Bakarganj,10 reviews,Photo + Video,"50,000",per day,,,None,https://www.facebook.com/NkStudioPhotographer/,
Balajee Memories,Rukanpura,No Reviews,Photo + Video,"13,000",per day,None,,,None,https://www.facebook.com/Bmwpatna/,
Pixel Studio,Rukanpura,No Reviews,Photo + Video,"50,000",per day,None,,,None,https://www.facebook.com/DesingPixelStudio/,
Gift Of Moments by Yo Baro's,Phulwari Sharif,No Reviews,Photo + Video,"1,00,000",per day,None,,,https://www.instagram.com/redmomentsindia/?hl=en,https://www.facebook.com/yobaros/,
Design Info,Phulwari Sharif,No Reviews,Photo + Video,"51,000",per day,None,,,None,https://www.facebook.com/designinfo.in,
Kiran Video Films & Gifts,Phulwari Sharif,No Reviews,Photo + Video,"25,000",per day,None,,,None,None,
CA Studio,Kankarbagh,No Reviews,Photo + Video,"40,000",per day,None,,,https://www.instagram.com/c.a.studio/,https://www.facebook.com/CAStudioLA/,
Photo Corner,Rajendra Nagar,No Reviews,Photo Package,"10,000",per day,None,,,None,None,
Crystal Eye Photography,Danapur,No Reviews,Photo + Video,"30,000",per day,None,,,https://www.instagram.com/crystaleyephotograph/?hl=en,https://www.facebook.com/crystaleyephotograph/,
Fotophactory Studio,3.7,Patna,17 reviews,Photo + Video,"60,000",per day,,,None,https://www.facebook.com/fotophactory.in/,
Rahul Films,Rajendra Nagar,No Reviews,Photo + Video,"25,000",per day,None,,,None,https://www.facebook.com/rahulfilms66/,
Vikash Brothers,Rukanpura,No Reviews,Photo + Video,"40,000",per day,None,,,None,https://www.facebook.com/vikashbrotherspatna/,
Sawant Digital Studio,Gardanibagh,No Reviews,Photo + Video,"1,00,000",per day,None,,,None,https://www.facebook.com/sawantdigitalstudio9430436071/,
Splash Studio,Bakarganj,No Reviews,Photo + Video,"25,000",per day,None,,,https://www.instagram.com/splashstudio/?hl=en,https://www.facebook.com/splashstudio.apaintingbar/videos/,
Ayush Films,Rukanpura,No Reviews,Photo + Video,"30,000",per day,None,,,None,https://www.facebook.com/pages/category/Movie-Television-Studio/Ayush-films-350734975631804/,
StoriesUntitled.com,Danapur,No Reviews,Photo + Video,"45,000",per day,None,,,None,https://www.facebook.com/pages/category/Photography-Videography/Stories-Untitled-107317507454187/,
Ashish Kumar Singh Photography,Phulwari Sharif,No Reviews,Photo Package,"20,000",per day,None,,,https://www.instagram.com/ashishkumar05011998/,https://www.facebook.com/Ashish-Kumar-Singh-280789329475600/photos/,
PAL-Frame Your Moments,Kankarbagh,No Reviews,Photo + Video,"50,000",per day,None,,,None,https://www.facebook.com/XcelStudioPhtography/photos/-pre-wedding-in-frame-diya-pal-snahasish-pc-santanu-roymake-your-moments-more-ma/382914868927559/,
Hd Video & Steel Photography,Rukanpura,No Reviews,Photo + Video,"70,000",per day,None,,,None,None,
The IndoGraphers,Patna,No Reviews,Photo + Video,"60,000",per day,None,,,https://www.instagram.com/theindographers_studio/?hl=am-et,https://www.facebook.com/theindographers/,
Aditya Capture,Patna,No Reviews,Photo + Video,"1,20,000",per day,None,,,None,https://hi-in.facebook.com/aditya.capture/photos,
Weddings by Anymesh,Patna,No Reviews,Photo + Video,"55,000",per day,None,,,None,None,
Summit Studio,Fraser Road Area,No Reviews,Photo + Video,"70,000",per day,None,,,None,https://www.facebook.com/SummitStudio.in/,
Club Clicks Photography,Patliputra Colony,No Reviews,Photo + Video,"25,000",per day,None,,,https://www.instagram.com/clicksclub/?hl=en,https://www.facebook.com/clubclicksthephotographyclub/,
Chitra Chhaya Digital Studio,Rukanpura,No Reviews,Photo + Video,"50,000",per day,None,,,None,https://m.facebook.com/Chitra-Chaya-Digital-Studio-230751567509091/,
Sangam Studio,Danapur,No Reviews,Photo + Video,"50,000",per day,None,,,https://www.instagram.com/sangam_production_house/,https://www.facebook.com/sangamstudiojamnagar/,
Photo House Patna,Anandpuri,No Reviews,Photo + Video,"30,000",per day,None,,,None,https://www.facebook.com/pages/category/Photographer/Sachin-Photo-house-133204217257422/,
Prowess Studio,Phulwari Sharif,No Reviews,Photo + Video,"85,000",per day,None,,,None,https://www.facebook.com/prowessStudioByTanish/,
Two Brothers Studio,Ramkrishan Nagar,No Reviews,Photo + Video,"1,30,000",per day,None,,,https://www.instagram.com/twobrothersstudio/?hl=en,https://www.facebook.com/twobrotherstudio/,
Aarohi Digital,Gardanibagh,No Reviews,Photo + Video,"30,000",per day,None,,,None,https://www.facebook.com/pages/category/School/Aarohi-Digital-School-1422632137877403/,
Om Shree Video,Gardanibagh,No Reviews,Photo + Video,"30,000",per day,None,,,None,None,
Unique Video Mixing Lab,Gardanibagh,No Reviews,Photo + Video,"30,000",per day,None,,,None,None,
Pixul Studios,Gardanibagh,No Reviews,Photo + Video,"40,000",per day,None,,,https://www.instagram.com/pixelstudiosofficial/?hl=en,https://www.facebook.com/pixulstudios/,
HS Film Patna,Anandpuri,No Reviews,Photo + Video,"50,000",per day,None,,,None,https://www.facebook.com/pages/category/Photography-Videography/hsfilmpatna-111675586984063/,
The Love Tales,Sadikpur,No Reviews,None,On Request,None,None,,,None,https://www.facebook.com/tlovetales/,
Wedding Jingles,Gardanibagh,No Reviews,Photo + Video,"51,000",per day,None,,,https://www.instagram.com/weddingjingles/?hl=en,https://www.facebook.com/weddingjingles/,
John Creed Photography,Patna,No Reviews,Photo + Video,"50,000",per day,None,,,https://www.instagram.com/johncreedstudio/?hl=en,https://www.facebook.com/Johncreedphotography/,
Shruti Video Khagaria,Gardanibagh,No Reviews,Photo + Video,"1,20,000",per day,None,,,https://www.instagram.com/shrutivideokhagaria/?hl=en,https://www.facebook.com/srutivideokhagaria/,
DreamArts Studio,3.9,Phulwari Sharif,8 reviews,Photo + Video,"50,000",per day,,,https://www.instagram.com/dream__arts__studio/?hl=en,https://m.facebook.com/Dreamartsstudio.in/services/?ref=page_internal&mt_nav=0,
Sai Shraddha Solutions,Bakarganj,No Reviews,Photo Package,"50,000",per day,None,,,https://www.instagram.com/saishraddhasolutions/?hl=en,https://www.facebook.com/saishraddhasolutions/photos/,
Ray Chowdhury Photographers,Danapur,No Reviews,Photo Package,"20,000",per day,None,,,https://www.instagram.com/rcppatna/,https://www.facebook.com/raychowdhuryphotographers/,
Meow Studio by Saurav Anuraj,Kankarbagh,No Reviews,Photo + Video,"50,000",per day,None,,,https://www.instagram.com/sauravanuraj/?hl=en,https://www.facebook.com/sauravmeow/,
Colorshot Photography,Danapur,No Reviews,Photo + Video,"45,000",per day,None,,,https://www.instagram.com/color_shot_photography_india/?hl=en,https://www.facebook.com/StudioVJ/,
Bandhan Lab,Bakarganj,No Reviews,Photo + Video,"80,000",per day,None,,,None,https://www.facebook.com/bandhanlabs/,
Foto Kheecho By Sarwagya,Kidwaipuri,No Reviews,Photo + Video,"65,000",per day,None,,,None,None,
Wedding Moment,Bakarganj,No Reviews,Photo + Video,"70,000",per day,None,,,None,https://www.facebook.com/nayan.saha.9774/,
