Photography,Rating,Location,Reviews,Price Per Day,Usefull,per day,Email_id,Contact,Instagram Link,Facebook Link,Website Link
Nagesh Studio,Gajuwaka,No Reviews,Photo + Video,"32,000",per day,None,,,https://www.instagram.com/nagesh._.photography/,https://www.facebook.com/explorepaintingsbyfankaarnagesh/,
Into the Lens,Ram Nagar,No Reviews,Photo + Video,"1,00,000",per day,None,,,None,https://www.facebook.com/Studio.Films.Photography/,
Yellow Media Photography & Videography,Seethammadara,No Reviews,Photo + Video,"33,500",per day,None,,,https://www.instagram.com/yellowmedialabs/?hl=en,https://www.facebook.com/Yellowmediahub/,
Smile Studio,Visakhapatnam,No Reviews,Photo + Video,"75,000",per day,None,,,https://www.instagram.com/smile.studio__/?hl=en,https://www.facebook.com/SmileCraftStudio/,
ILA Captures,Visakhapatnam,No Reviews,Photo + Video,"38,000",per day,None,,,None,None,
AMMA Creations Photography,Visakhapatnam,No Reviews,Photo + Video,"40,000",per day,None,,,https://www.instagram.com/ammaweddingcreations/?hl=en,https://www.facebook.com/ammaweddingcreations/,
Korlaji Ashish Photography,Seethammadara,No Reviews,Photo + Video,"1,00,000",per day,None,,,None,https://sw-ke.facebook.com/korlaji.ashish/photos,
Chitrakala Studio and Video,Visakhapatnam,No Reviews,Photo + Video,"55,000",per day,None,,,None,https://www.facebook.com/chitarakalastudio/,
Divakar Photography,Railway New Colony,No Reviews,Photo + Video,"33,500",per day,None,,,https://www.instagram.com/rameshdivakarphotography/?hl=en,https://www.facebook.com/pages/Divakar-Photography/1411612292307220,
KM Pixel Photography,Akkayyapalem,No Reviews,Photo + Video,"1,50,000",per day,None,,,https://www.instagram.com/kmpixelphotography/,https://www.facebook.com/kmpixelphotography/posts,
Pixelens Photography,Asilmetta,No Reviews,Photo + Video,"40,000",per day,None,,,https://www.instagram.com/pixelens_photography/?hl=en,https://www.facebook.com/PixelensPhotography/,
Hemanth Kumanan Photography,0.5,Seethammadara,1 review,Photo + Video,"47,000",per day,,,https://www.instagram.com/hemanth_kumanan/?hl=en,https://www.facebook.com/hemanthkumananphotography/,
Shreyas Creations Wedding Photography,Arilova,No Reviews,Photo + Video,"40,000",per day,None,,,https://www.instagram.com/sreyasadsweddings/?hl=en,https://en-gb.facebook.com/saikiran01799,
Makings Photography,Dwaraka Nagar,No Reviews,Photo + Video,"85,000",per day,None,,,None,https://www.facebook.com/makingsworldofphotography/,
The Story Photography,Gajuwaka,No Reviews,Photo + Video,"60,000",per day,None,,,None,https://www.facebook.com/TheStoryPhotography/,
Grace Photography,Allipuram,No Reviews,Photo + Video,"75,500",per day,None,,,None,https://www.facebook.com/rashidPhotoGraphyStudio/,
Jaya Sai Studio,Pedagantyada,No Reviews,Photo + Video,"35,000",per day,None,,,None,None,
Pixart Photography,Dwaraka Nagar,No Reviews,Photo + Video,"50,000",per day,None,,,https://www.instagram.com/pixartgr/?hl=en,https://www.facebook.com/pixartphotographyaustralia/,
Ravi Krishna Photo,Simhachalam,No Reviews,Photo + Video,"40,000",per day,None,,,https://www.instagram.com/ravikrishna_official/?hl=en,None,
Nick Photography,Simhachalam,No Reviews,Photo + Video,"50,000",per day,None,,,https://www.instagram.com/nick_photography25/?hl=en,https://www.facebook.com/nickphotography056/,
Sai Krishna Photo Studio,Railway New Colony,No Reviews,Photo + Video,"41,000",per day,None,,,None,https://www.facebook.com/pages/category/Business-Service/Saikrishna-Photo-Studio-347928045368466/,
Click Shot Photography,Visakhapatnam,No Reviews,Photo + Video,"80,000",per day,None,,,https://www.instagram.com/clickshot_photography/?hl=en,https://www.facebook.com/clickshotphotographer/,
