Photography,Rating,Location,Reviews,Price Per Day,Usefull,per day,Email_id,Contact,Instagram Link,Facebook Link,Website Link
Vrushbh Photo Art,Rajkot,No Reviews,Photo + Video,"65,000",per day,None,,,None,https://www.facebook.com/vrushbhphotoart/,
Bhargav Thobhani Photography,Rajkot,No Reviews,Photo + Video,"1,75,000",per day,None,,,https://www.instagram.com/lovingheart777_bhargav/?hl=en,https://www.facebook.com/bhargavthobhaniphotography/,
M.K.Studio,Rajkot,No Reviews,Photo + Video,"70,000",per day,None,,,None,None,
Diya Photo Studio,Rajkot,No Reviews,Photo + Video,"60,000",per day,None,,,None,https://www.facebook.com/pages/category/Personal-Blog/Diya-photo-studio-101076861945361/,
R.K Vision,Rajkot,No Reviews,Photo + Video,"45,000",per day,None,,,None,None,
Yogi Photography,Rajkot,No Reviews,Photo + Video,"28,000",per day,None,,,https://www.instagram.com/mr_macelin/,https://www.facebook.com/Yogiiphotography/,
Tasveergraphy,Rajkot,No Reviews,Photo + Video,"1,60,000",per day,None,,,https://www.instagram.com/tasveergraphyfilms/?hl=en,https://www.facebook.com/tasveergraphyfilms/,
New Chandan Digital Studio,Rajkot,No Reviews,Photo + Video,"40,000",per day,None,,,https://www.instagram.com/new_chandan_digital_studio/,https://www.facebook.com/newchandandigital/,
AfterGlow - A Photo Boutique,Rajkot,No Reviews,Photo + Video,"30,000",per day,None,,,https://www.instagram.com/afterglowphotoshoot/,https://www.facebook.com/afterglowcreative/,
Stardust Studio,Rajkot,No Reviews,Photo + Video,"50,000",per day,None,,,https://www.instagram.com/starduststudio/?hl=en,https://www.facebook.com/Stardustudiofficial/,
Bandhan - Motion Picture,Rajkot,No Reviews,Photo + Video,"70,000",per day,None,,,None,https://www.facebook.com/Bandhan-Motion-Picture-1397705923852071/,
Prasang Studio,Rajkot,No Reviews,Photo + Video,"20,000",per day,None,,,None,https://www.facebook.com/prasangstudiosurat/,
Photolink Photography,Rajkot,No Reviews,Photo + Video,"50,000",per day,None,,,None,https://www.facebook.com/photolinkphotography/,
Brahm Studio,Rajkot,No Reviews,Photo + Video,"70,000",per day,None,,,None,https://www.facebook.com/jamesjadia13/,
Studio Timecap,Rajkot,No Reviews,Photo + Video,"35,000",per day,None,,,https://www.instagram.com/studio.timecap/?hl=en,https://www.facebook.com/pages/category/Editor/Studio-Timecap-101902817980483/,
Photowala Studio,Rajkot,No Reviews,Photo + Video,"50,000",per day,None,,,https://www.instagram.com/photowala_studio_surat/?hl=en,https://www.facebook.com/Sumitphotowala111/,
PhotoMedia Studio,Rajkot,No Reviews,Photo Package,"15,000",per day,None,,,None,https://www.facebook.com/photomedia247/,
Studio Dream,Rajkot,No Reviews,Photo + Video,"60,000",per day,None,,,https://www.instagram.com/studiodreamwedding/?hl=en,https://www.facebook.com/studiodream.lk/,
